queries_sent,budget_frac,cum_errors_covered,frac_errors_covered
213,0.42771084337349397,164,0.6165413533834586
214,0.42971887550200805,165,0.6203007518796992
215,0.43172690763052207,166,0.6240601503759399
216,0.43373493975903615,166,0.6240601503759399
217,0.4357429718875502,167,0.6278195488721805
218,0.43775100401606426,167,0.6278195488721805
219,0.4397590361445783,167,0.6278195488721805
220,0.44176706827309237,168,0.631578947368421
221,0.44377510040160645,168,0.631578947368421
222,0.4457831325301205,168,0.631578947368421
223,0.44779116465863456,169,0.6353383458646616
224,0.4497991967871486,170,0.6390977443609023
225,0.45180722891566266,170,0.6390977443609023
226,0.4538152610441767,171,0.6428571428571429
227,0.45582329317269077,171,0.6428571428571429
228,0.4578313253012048,172,0.6466165413533834
229,0.4598393574297189,173,0.650375939849624
230,0.46184738955823296,174,0.6541353383458647
231,0.463855421686747,174,0.6541353383458647
232,0.46586345381526106,175,0.6578947368421053
233,0.4678714859437751,175,0.6578947368421053
234,0.46987951807228917,176,0.6616541353383458
235,0.4718875502008032,177,0.6654135338345865
236,0.4738955823293173,178,0.6691729323308271
237,0.4759036144578313,178,0.6691729323308271
238,0.4779116465863454,179,0.6729323308270677
239,0.4799196787148594,179,0.6729323308270677
240,0.4819277108433735,179,0.6729323308270677
241,0.4839357429718876,179,0.6729323308270677
242,0.4859437751004016,179,0.6729323308270677
243,0.4879518072289157,180,0.6766917293233082
244,0.4899598393574297,180,0.6766917293233082
245,0.4919678714859438,180,0.6766917293233082
246,0.4939759036144578,180,0.6766917293233082
247,0.4959839357429719,181,0.6804511278195489
248,0.4979919678714859,182,0.6842105263157895
249,0.5,183,0.6879699248120301
250,0.5020080321285141,184,0.6917293233082706
251,0.5040160642570282,185,0.6954887218045113
252,0.5060240963855421,185,0.6954887218045113
253,0.5080321285140562,185,0.6954887218045113
254,0.5100401606425703,185,0.6954887218045113
255,0.5120481927710844,185,0.6954887218045113
256,0.5140562248995983,185,0.6954887218045113
257,0.5160642570281124,186,0.6992481203007519
258,0.5180722891566265,186,0.6992481203007519
259,0.5200803212851406,186,0.6992481203007519
260,0.5220883534136547,187,0.7030075187969925
261,0.5240963855421686,187,0.7030075187969925
262,0.5261044176706827,187,0.7030075187969925
263,0.5281124497991968,188,0.706766917293233
264,0.5301204819277109,188,0.706766917293233
265,0.5321285140562249,189,0.7105263157894737
266,0.5341365461847389,190,0.7142857142857143
267,0.536144578313253,190,0.7142857142857143
268,0.5381526104417671,190,0.7142857142857143
269,0.5401606425702812,191,0.7180451127819549
270,0.5421686746987951,191,0.7180451127819549
271,0.5441767068273092,192,0.7218045112781954
272,0.5461847389558233,192,0.7218045112781954
273,0.5481927710843374,192,0.7218045112781954
274,0.5502008032128514,193,0.7255639097744361
275,0.5522088353413654,194,0.7293233082706767
276,0.5542168674698795,194,0.7293233082706767
277,0.5562248995983936,195,0.7330827067669173
278,0.5582329317269076,195,0.7330827067669173
279,0.5602409638554217,196,0.7368421052631579
280,0.5622489959839357,197,0.7406015037593985
281,0.5642570281124498,198,0.7443609022556391
282,0.5662650602409639,199,0.7481203007518797
283,0.5682730923694779,199,0.7481203007518797
284,0.570281124497992,200,0.7518796992481203
285,0.572289156626506,201,0.7556390977443609
286,0.5742971887550201,201,0.7556390977443609
287,0.5763052208835341,202,0.7593984962406015
288,0.5783132530120482,203,0.7631578947368421
289,0.5803212851405622,203,0.7631578947368421
290,0.5823293172690763,204,0.7669172932330827
291,0.5843373493975904,204,0.7669172932330827
292,0.5863453815261044,204,0.7669172932330827
293,0.5883534136546185,205,0.7706766917293233
294,0.5903614457831325,206,0.7744360902255639
295,0.5923694779116466,206,0.7744360902255639
296,0.5943775100401606,206,0.7744360902255639
297,0.5963855421686747,206,0.7744360902255639
298,0.5983935742971888,206,0.7744360902255639
299,0.6004016064257028,206,0.7744360902255639
300,0.6024096385542169,206,0.7744360902255639
301,0.6044176706827309,207,0.7781954887218046
302,0.606425702811245,207,0.7781954887218046
303,0.608433734939759,208,0.7819548872180451
304,0.6104417670682731,208,0.7819548872180451
305,0.6124497991967871,209,0.7857142857142857
306,0.6144578313253012,210,0.7894736842105263
307,0.6164658634538153,211,0.793233082706767
308,0.6184738955823293,211,0.793233082706767
309,0.6204819277108434,211,0.793233082706767
310,0.6224899598393574,211,0.793233082706767
311,0.6244979919678715,211,0.793233082706767
312,0.6265060240963856,211,0.793233082706767
313,0.6285140562248996,212,0.7969924812030075
314,0.6305220883534136,212,0.7969924812030075
315,0.6325301204819277,213,0.8007518796992481
316,0.6345381526104418,214,0.8045112781954887
317,0.6365461847389559,214,0.8045112781954887
318,0.6385542168674698,215,0.8082706766917294
319,0.6405622489959839,216,0.8120300751879699
320,0.642570281124498,217,0.8157894736842105
321,0.6445783132530121,217,0.8157894736842105
322,0.6465863453815262,218,0.8195488721804511
323,0.6485943775100401,218,0.8195488721804511
324,0.6506024096385542,219,0.8233082706766918
325,0.6526104417670683,219,0.8233082706766918
326,0.6546184738955824,219,0.8233082706766918
327,0.6566265060240963,219,0.8233082706766918
